,Date,Title,Author,Abstract
0,2015-01-12,Passer la trentaine,CTRL X," On tient un chef d'œuvre ! Dans le bourbier de bienpensance, bienséance et patriotisme de pacotille ambiants, CTRL X vient nous donner un bon gros coup de poing littéraire dans le ventre et nous sortir la tronche de nos carnets de condoléances désespérants. Ce formidable périple urbain d'un papa narrateur accompagné de son bambin bipolaire à l'ouest, entrecoupé de zones de turbulences scénaristiques improbables, en cheat mode lousdé sup, est exactement le cocktail médicamenteux narratif dont tu as absolument besoin pour sortir du coma d'idées bas de gamme dans lequel tu sais parfaitement que l'actualité pourrie t'a fait plonger. Toi qui t'étais promis de ne jamais subir son immonde diktat. Plus drôle, tu meurs catapulté à l'infini par tes propres zygomatiques."
1,2017-07-20,La vie est un chef d'oeuvre d'humour juif,CTRL X," Contribution extraordinaire de notre Grand Inquisiteur de l'Ordre de la Saint-Con au dossier #Testament de Muscadet. Tranche de vie, à se taper le cul par terre de rire, d'un adolescent des années 80-90. Je ne veux rien spoiler du tout, toutes les idées sont géniales, superbement exploitées pour optimiser la douleur des crampes à vos zygomatiques probablement, comique de situation improbable, saynètes humoristiques totalement imprévisibles s’enchaînant de manière surnaturelle, aussi je vous laisse découvrir par vous même tous ces lieux, personnages et dialogues loufoques et barrés, qui je vous l'assure, vous laisseront une trace indélébile, genre carte de France mentale, et peut être même vous remémoreront d’inavouables souvenirs enfouis dans les tréfonds de votre subconscient, des images refoulées, qu'à jamais vous pensiez avoir réussi, par l'autosuggestion ou de longues et onéreuses séances de psychanalyse, à effacer de votre cerveau d'adolescent. Prochainement au cinéma."
2,2017-09-13,L'Anémone Couronnée,Clacker," Avec la première contribution à l'appel à textes P.K.Dick-like, Clacker met la barre super haut en évitant toute fioriture. Comme dirait Bob Arctor dans Substance M : ""Il se peut que ce soit seulement mon imagination. Quelle que soit la nature de ce qui m'observe, ce n'est pas Humain. À la différence de Donna aux yeux noirs, ça ne bat jamais des paupières. Que peut voir un scanner ? Ce qu'il se passe dans la tête ? Ce qu'il se passe dans le cœur ? Est ce qu'il voit à l'intérieur de moi ? à l'intérieur de nous ? Clairement ? Obscurément ? J'espère qu'il voit clairement parce que moi je n'arrive plus à voir en moi même. Je ne vois que des ténèbres. J'espère pour tout le monde que le scanner fait mieux. Parce que si le scanner ne voit qu'obscurément comme moi, alors je suis maudit... doublement maudit. Et comme ça, on finira tous morts en sachant très peu de choses. Et même ce très peu de choses, on l'aura compris de travers."" P.K.Dick avait une sœur jumelle. Décédée de malnutrition âgée à peine de quelques semaines, elle le hantera toute sa vie, surgissant d'innombrables fois dans ses écrits sous les traits d'une belle et jeune femme brune. Souvent une psychotique."
3,2005-07-24,Le texte dont je suis le héros,Nounourz," (Texte remanié et rallongé) Ce mastodonte est une tranche de vie stricte : l'intrigue est absente, toute forme d'action est délibéremment refusée, mais y a dix pages. C'est volontairement confus pour refléter les états d'âme du héros à la dérive, reclus dans son appartement. C'est un texte qui refuse tout compromis au confort du lecteur, à éviter si on a la flemme. Article à tiroirs, sombre, tourmenté et obsessionnel. A lire."
4,2003-11-21,Arch-nemesis,nihil," (Article initialement paru le 01/11/03 sous le titre 'Contamination', puis remanié et rallongé pour la version actuelle...). Mes thèmes récurrents sont de retour dans cette très longue nouvelle médicale : organisme, maladie, dégradation de l'environnement, le tout mis en scène dans une structure narrative beaucoup plus nette que les autres textes où ces sujets sont abordés. Ils sont également pour certains poussés ici à leur paroxysme. Je trouve que je tiens là mon meilleur texte paru sur la Zone, depuis sa correction. Vérifiez par vous-mêmes."
5,2006-05-16,En route vers le clochard ! (venez je vous emmène...),Obn," L'écriture inventive et fluide d'Obn est très agréable et suffit à nous faire avaler ce pavé sans sourciller. Bizarre parce qu'il se passe pas grand-chose et que ça patauge dans la confusion mentale, pourtant ça se bouffe tout seul. Cette tranche de vie tordue en hôpital psychiatrique est un régal à tous points de vue, à la fois désespérée et amusante. Les tarés cotoient les suicidaires, tous aussi sympathiques les uns que les autres. Excellent."
6,2014-01-08,En Plein cœur. PAN! Pas ailleurs. (1),Valstar Karamzin," Quand on a l'impudence de poster sur la Zone une salve de cinq articles dont le dernier s'achève sur l'annonce ""fin de la première partie"", on s'expose à devoir s'armer de patience avant leur publication. N'y voyez surtout pas mesquine vengeance d'admins branleurs et démotivés, mais prudente et sage temporisation face aux sombres menaces de l'excès d'enthousiasme. Enfin, voyez-y ce que vous voulez. Ou plutôt arrachez-vous les yeux. Mais après avoir lu le texte, parce qu'en fait, ça en vaut la peine. C'est bien écrit, inventif, et ça mène visiblement quelque part (mais peut-être en Wallonie, voire même en Bretagne....à vous de voir...)."
7,2015-08-19,Balistique - Version 2,Narak," à l'occasion de la sortie du N°2 de LRQTP prévue en Septembre et dont le thème est ""Déterminisme, libre arbitre, chaos et mon flingue"", j'ai demandé à Narak si je pouvais utiliser son excellentissime texte Balistique 1er du nom car il m'avait beaucoup marqué, et d'ailleurs c'est un des meilleurs textes de la section =BEST OFF= de la Zone. Du coup, il m'a concédé qu'il ne l'assumait plus trop, puisqu'entre temps, il avait mué et s'était pris un violent power up pileux, qu'une guerre hormonale sans merci s'était invité dans son corps, accompagnée d'une violente envie de faire des bisous partout à des gens. Comme je le poussais un peu il finissait par céder mais décidais donc de revoir le texte, allant jusqu'à presque le réécrire intégralement. Personnellement je ne suis pas déçu au change, le texte est plus construit, mieux articulé, plus désabusé et dark ironic. Une sale atmosphère y traine. Comme quoi avec l'âge on prend de l'arôme et de la robe. Il est assez amusant de comparer les deux versions. Rappelons que ce texte aura déjà connu deux autre mix disjonctés par Invisible et Simili que je mets en lien en intro également. Narak, simply inspiring."
8,2016-06-12,Attends ta cule à la récré,Castor tillon," Castor Tillon est de retour sur la Zone. Longtemps commentateur assidu, il passe à la contribution textuelle pour notre plus grand bonheur. Imaginez une adaptation de Lovecraft au cinéma par Quentin Tarantino. Sacrilège ! Hérésie ! Scandale ! Vous n'osez pas concevoir mentalement ne serait-ce qu'une seconde la collision monumentale de deux univers oniriques aussi riches et a priori aux antipodes intergalactiques l'un de l'autre de peur de vous faire un claquage de cerveau et sombrer dans une folie irréversible ? Associer entre elles des intrigues malsaines, des personnages hors normes à l’intarissable gouaille, des dialogues et des situations aussi improbables que saugrenues, et asperger le tout de tomato ketchup en guise d'hémoglobine de contrebande, vous semble être une expérience par la pensée sans retour possible à la raison ? Vous n'avez pas tort et c'est ce qui vous attend aussi en tant que lecteur. Mais c'est ce qu'il arrive quand on répond d'une manière ou d'une autre au grand appel à textes de Cthulhu."
9,2016-10-12,Dark Terrelya,LePouilleux," Ce texte splendide de LePouilleux prend pour prétexte l'appel à contribution de Cthulhu pour aller bien au delà. La structure, la narration reproduisent fidèlement les ambiances lovecraftiennes, cependant des thématiques originales et très intéressantes sont abordées, explorées et théorisées en filigrane. Ici l'angoisse de la tératologie est transposée dans le domaine des univers immatériels du jeu vidéo, en particulier les bugs et les glitchs sont exploités avec talent, suscitant certes terreur et répugnance mais également source d'opportunités, des failles du systèmes desquelles on peut tirer parti. Bien vu, bien mené et super inspirant."
